reporter_code,partner_code,commodity_code,year,trade_flow,value_usd,quantity_kg
CAN,W00,87,2013,Export,59276391154.0,
CAN,W00,87,2013,Import,71678995594.0,
CAN,W00,87,2014,Import,70526487535.0,
CAN,W00,87,2014,Export,59993113868.0,
CAN,W00,87,2015,Import,23419840.97,
CAN,W00,87,2015,Export,60281960341.29,
CAN,W00,87,2016,Import,14305.28,
CAN,W00,87,2016,Export,64254480591.94,
CAN,W00,87,2017,Export,62319693439.38,
CAN,W00,87,2017,Import,74321030535.17,
CAN,W00,87,2018,Import,83186224.27,
CAN,W00,87,2018,Export,60438654807.14,
CAN,W00,87,2019,Import,3530.32,
CAN,W00,87,2019,Export,61370947891.09,
CAN,W00,30,2013,Export,5433161752.0,
CAN,W00,30,2013,Import,12114262321.0,
CAN,W00,30,2014,Import,12478392782.0,
CAN,W00,30,2014,Export,7068651990.0,
CAN,W00,30,2015,Import,6.26,
CAN,W00,30,2015,Export,7718661342.98,
CAN,W00,30,2016,Import,5.28,
CAN,W00,30,2016,Export,8392429511.46,
CAN,W00,30,2017,Export,6265450603.05,
CAN,W00,30,2017,Import,11710909646.2,
CAN,W00,30,2018,Import,1797998.95,
CAN,W00,30,2018,Export,7887360995.93,
ITA,W00,27,2013,Import,95523100237.0,
ITA,W00,27,2013,Export,23151524035.0,
ITA,W00,27,2014,Import,77453510613.0,
ITA,W00,27,2014,Export,19713356285.0,
ITA,W00,27,2015,Import,52324021024.3,
ITA,W00,27,2015,Export,14681841425.29,
ITA,W00,27,2016,Import,41656513351.17,
ITA,W00,27,2016,Export,11963783593.69,
ITA,W00,27,2017,Import,54137029394.0,
ITA,W00,27,2017,Export,16178532138.63,
ITA,W00,27,2018,Import,67604093831.21,
ITA,W00,27,2018,Export,18354871222.53,
ITA,W00,27,2019,Import,58485181702.75,
ITA,W00,27,2019,Export,15733559438.52,
ITA,W00,27,2020,Export,10181646597.2,
ITA,W00,27,2020,Import,35762960220.64,
ITA,W00,27,2021,Export,18338887095.46,
ITA,W00,27,2021,Import,75604145522.16,
ITA,W00,27,2022,Export,31299350823.58,
ITA,W00,27,2022,Import,148174473958.31,
ITA,W00,27,2023,Export,23817226681.6,
